               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083755,            0.039898,            0.021719,             0.50769,             0.53451,             0.48421,             0.20228,            0.057535,            0.023974,           0.0092914,            0.070075,            0.003325,            0.003325
                   1,            0.060893,              0.0347,           0.0083587,             0.73272,             0.63678,             0.70291,             0.33686,            0.048354,             0.02301,           0.0062084,            0.040075,           0.0066579,           0.0066579
                   2,            0.056443,            0.033388,           0.0067817,             0.75685,             0.67045,             0.74604,             0.37992,            0.044534,             0.02395,           0.0048634,            0.010073,           0.0099892,           0.0099892
                   3,            0.052861,            0.035259,           0.0062411,             0.77027,             0.68737,             0.75733,             0.39097,            0.044166,            0.024548,           0.0049699,           0.0099945,           0.0099945,           0.0099945
                   4,            0.049452,            0.034335,           0.0055689,             0.80042,             0.67704,             0.76987,             0.40848,             0.04278,            0.025467,           0.0042881,           0.0099945,           0.0099945,           0.0099945
                   5,            0.047299,            0.034222,            0.004926,             0.81097,             0.73154,             0.80342,             0.44381,            0.041076,            0.023562,           0.0032421,           0.0099902,           0.0099902,           0.0099902
                   6,            0.045887,            0.033586,           0.0046042,             0.84916,             0.74404,             0.82872,              0.4761,            0.039015,            0.023075,           0.0034614,           0.0099847,           0.0099847,           0.0099847
                   7,            0.045171,            0.033198,           0.0046093,             0.85319,             0.74387,              0.8266,             0.48249,             0.03865,            0.023189,           0.0040688,            0.009978,            0.009978,            0.009978
                   8,            0.044857,            0.033622,            0.004323,              0.8603,             0.74782,             0.83489,             0.49157,            0.037851,              0.0227,           0.0036653,           0.0099701,           0.0099701,           0.0099701
                   9,            0.044135,            0.032789,           0.0042069,              0.8696,             0.76043,             0.84288,             0.51004,             0.03707,            0.022475,           0.0030896,            0.009961,            0.009961,            0.009961
                  10,            0.043565,            0.032807,           0.0041012,             0.86851,             0.74742,             0.83557,             0.50185,            0.037069,            0.022568,            0.003684,           0.0099506,           0.0099506,           0.0099506
                  11,            0.043293,            0.031782,           0.0038285,              0.8592,             0.76863,             0.84738,             0.51711,            0.035993,            0.022347,           0.0029059,           0.0099391,           0.0099391,           0.0099391
                  12,            0.043034,            0.032653,           0.0038655,             0.86072,             0.77921,             0.85327,             0.52221,            0.035697,             0.02208,           0.0035595,           0.0099263,           0.0099263,           0.0099263
                  13,            0.042322,            0.031841,           0.0039302,             0.85177,             0.77096,             0.84614,             0.51619,            0.035964,            0.022023,           0.0030561,           0.0099123,           0.0099123,           0.0099123
                  14,            0.042181,            0.031901,           0.0039198,             0.87555,               0.784,             0.85776,             0.53336,            0.035331,            0.021949,           0.0026238,           0.0098972,           0.0098972,           0.0098972
                  15,            0.042071,            0.031305,           0.0036721,             0.87363,             0.78024,             0.86223,              0.5367,            0.034874,            0.021925,           0.0024066,           0.0098808,           0.0098808,           0.0098808
                  16,             0.04157,            0.031062,           0.0035919,             0.87529,             0.76915,              0.8559,             0.53438,            0.035729,            0.022572,           0.0029872,           0.0098632,           0.0098632,           0.0098632
                  17,            0.041397,            0.031913,           0.0036779,              0.8668,             0.76547,             0.84971,             0.52637,            0.035404,            0.022243,           0.0029492,           0.0098445,           0.0098445,           0.0098445
                  18,            0.041479,            0.031389,            0.003688,             0.87455,             0.80028,             0.86458,             0.54417,            0.034654,            0.021743,           0.0031738,           0.0098246,           0.0098246,           0.0098246
                  19,            0.041291,            0.030543,            0.003497,             0.87125,             0.78401,             0.85882,             0.53903,            0.035596,            0.021836,           0.0035231,           0.0098035,           0.0098035,           0.0098035
                  20,            0.041136,            0.031016,           0.0034062,              0.8676,             0.78419,             0.85721,             0.54231,            0.034486,            0.021973,           0.0025916,           0.0097812,           0.0097812,           0.0097812
                  21,            0.040964,            0.031686,           0.0034662,             0.85983,             0.79158,             0.86066,             0.54575,             0.03467,            0.021757,           0.0027886,           0.0097577,           0.0097577,           0.0097577
                  22,             0.04061,            0.030725,            0.003394,             0.87455,             0.79484,             0.86613,             0.55039,            0.034366,            0.021486,           0.0025122,           0.0097331,           0.0097331,           0.0097331
                  23,            0.040365,            0.030782,           0.0032513,             0.88132,             0.79216,             0.86656,              0.5479,            0.034265,            0.021648,           0.0030213,           0.0097074,           0.0097074,           0.0097074
                  24,            0.040163,            0.030766,            0.003282,             0.89223,             0.79676,             0.87182,             0.56618,            0.033824,            0.021584,           0.0033552,           0.0096804,           0.0096804,           0.0096804
                  25,            0.040011,            0.030335,           0.0033642,             0.88923,             0.79962,             0.87176,             0.55824,            0.034003,            0.021608,           0.0035549,           0.0096524,           0.0096524,           0.0096524
                  26,            0.040045,            0.030118,            0.003292,             0.87927,             0.79024,             0.86707,             0.56078,             0.03386,            0.021793,           0.0028021,           0.0096232,           0.0096232,           0.0096232
