               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072388,            0.032052,            0.012408,             0.70177,             0.58204,             0.64399,              0.2909,            0.049905,            0.015809,           0.0065043,            0.070051,           0.0033276,           0.0033276
                   1,            0.053317,            0.025473,           0.0047105,              0.7522,             0.71452,             0.77503,             0.38986,            0.043281,            0.014643,           0.0038187,             0.04005,           0.0066599,           0.0066599
                   2,            0.049412,            0.024781,           0.0036095,             0.83711,             0.74799,             0.82438,             0.42201,              0.0421,            0.015046,           0.0029791,            0.010045,           0.0099881,           0.0099881
                   3,            0.046372,            0.025439,           0.0030629,             0.84085,             0.77218,             0.84912,             0.48221,            0.037671,             0.01515,           0.0023943,           0.0099861,           0.0099861,           0.0099861
                   4,             0.04394,            0.025124,           0.0026282,             0.86791,             0.77983,             0.86778,             0.50155,            0.037282,            0.014765,           0.0020323,           0.0099861,           0.0099861,           0.0099861
                   5,            0.042617,            0.025066,           0.0023718,             0.87253,             0.78727,             0.87272,             0.53545,            0.034824,            0.014601,           0.0016604,           0.0099753,           0.0099753,           0.0099753
                   6,            0.041949,            0.024673,           0.0022613,             0.86903,             0.80431,             0.87432,             0.53042,            0.035056,            0.014723,           0.0018833,           0.0099615,           0.0099615,           0.0099615
                   7,            0.041289,            0.024484,           0.0021449,             0.87268,              0.8144,             0.88244,             0.54613,            0.033761,            0.014352,           0.0016139,           0.0099446,           0.0099446,           0.0099446
                   8,            0.040828,            0.024261,           0.0020947,             0.88653,             0.80352,             0.88267,             0.54262,            0.034008,            0.014471,           0.0019135,           0.0099246,           0.0099246,           0.0099246
                   9,            0.040333,            0.023712,           0.0020532,             0.89548,              0.8136,             0.89096,             0.55215,            0.033341,            0.014325,           0.0015968,           0.0099017,           0.0099017,           0.0099017
                  10,            0.039986,            0.023812,           0.0019642,             0.86758,              0.8227,             0.88799,             0.55141,            0.033092,            0.014235,           0.0015476,           0.0098757,           0.0098757,           0.0098757
                  11,             0.03977,            0.023747,           0.0019212,             0.90015,             0.81617,             0.89704,             0.56125,             0.03289,            0.014096,           0.0014813,           0.0098467,           0.0098467,           0.0098467
